,Usuario,Tweet
103,mabelgarcia_23,"RT @BirmajerOk: Domingo pasado, en avenida Corrientes, en medio de un corso misérrimo, escucho a una murga llamando a votar a CFK y flagela…"
104,JuanjoB04819968,@sarubbibenitez Donde esta el gobernador de esa pcia? Dónde está el intendente de Av. Corrientes? Larreta de campañ… https://t.co/4gN1vYZZ9X
105,U24noticias,"Rodríguez Larreta sobre la educación en Concordia, Entre Ríos: ""1 de cada 2 chicos no termina la escuela"". https://t.co/umtPTo8QN1"
106,MFORTEGAOK,RT @fabioferrer: Autopista de bicicletas Horacio Rodríguez Larreta (@horaciorlarreta). Le sacaron 3 carriles a Libertador para una bicisend…
107,RubenBerguier,"@PatoBullrich @trebuquero Bullrich pierde con Larreta, pierde contra Macri y pierde contra Cristina"
108,Beatriz44771803,@Winston_Dunhill Este impresentable no es capaz de organizar capital federal y quiere ser presidente 🤣🤣🤣 déjate de… https://t.co/4faPD4H12E
109,avegno_angel,RT @Editor_76: La Estación Lacroze se encuentra en el corazón de la Ciudad más segura del mundo (segun Larreta) y más rica (según su presup…
110,DanielS93481031,@GastonPantoja1 @edufei0K No voto a Larreta
111,Lady_Emsworth,"RT @tuitero_boch: Todo JxC votará a Patricia Bullrich, que Larreta ni se presente, ya bastante vergüenza pasa ahora.."
112,CarlosDeMarco6,"Si llega a ser dirigente, te la imaginas a la bullrich rompiendonos la cara a todos por pensar distinto?Y a macri… https://t.co/CsmpwYdtH5"
113,dravaleria,"RT @Sil58987821: @s22pereyra @dravaleria @FelipeMiguelBA @PatoBullrich Mintieron, Mienten y Mentirán Macristad UCRPRO JXC Pato Bullrich Lar…"
114,FILO84149508,RT @caidodelcatre2: Dicen que Larreta suspendió los corsos de Saavedra y Lugano por no poder brindar seguridad; yo creo que los suspendió p…
115,nacienel75,RT @TonyDecciota: Jajajajajaja kirchnerista alimentado por Larreta. No podía ser de otra manera https://t.co/q3DQ3Ed8aT
116,euge09mendes,"RT @VickyVillarruel: Larreta te llena de cortes de calles, murgas espantosas y zurdos q andan vivando a CFK y a los desaparecidos. Y lo hac…"
117,nacienel75,RT @TonyDecciota: La otra es un parásito del gobierno nacional y el hermano... AdivinenSí! Nicolás Strok mantiene su inútil existencia gr…
118,dinosaurio714,"RT @Doctor_Soto: Hace 8 años que la Corte autorizó el uso de las Taser, pero Larreta recién “se animó” a implementarlas el año pasado. Qué…"
119,mabel_1950,@HJCBariloche @OrlandoKarst Es un pobre infeliz regalado como Larreta a los dos Macri los investigaba y espiaba . NO LO SABEN ? VAMOS !!!
120,Libero196O,@LANACION @lanacionmas @PRossiOficial @edufeiok @JonatanViale @majulluis @pabloferblanco @clarincom @todonoticias… https://t.co/tQKbN9puoS
121,Claudia251100,RT @Editor_76: La Estación Lacroze se encuentra en el corazón de la Ciudad más segura del mundo (segun Larreta) y más rica (según su presup…
122,solorepublicaMM,@mgrealpolitik @PatoBullrich No hizo falta el fallo de la corte del 2015 y el hecho de que el gob de macri no imped… https://t.co/23b8xHEQL2
123,3d3d11363f0c497,RT @Dany98833869: Estos son los departamentos que LARRETA le regaló a los villeros extranjeros de villa Fraga en Chacarita Y los jubilados…
124,Pato71770531,RT @fabioferrer: Autopista de bicicletas Horacio Rodríguez Larreta (@horaciorlarreta). Le sacaron 3 carriles a Libertador para una bicisend…
125,gra_n_g,"RT @BirmajerOk: Domingo pasado, en avenida Corrientes, en medio de un corso misérrimo, escucho a una murga llamando a votar a CFK y flagela…"
126,cata_cositorto,"@_alvarogonzalez @PatoBullrich 4 años tuvieron para meterlas ,prefirieron seguirle el juego a la prensa socialista… https://t.co/hkSfvHZ74n"
127,___Gonzo___,Existe otro intendente que se la pase boludeando como larreta? Hace meses que está boludeando por todos lados. https://t.co/iZm2xFZx7B
128,sagusoft,RT @GiovanonniJose: La verdad que si Larreta subsidia los corsos me da por las pelotas que los  impuestos de la ciudad vayan ahí.
129,SuricataMancebo,"RT @BirmajerOk: Domingo pasado, en avenida Corrientes, en medio de un corso misérrimo, escucho a una murga llamando a votar a CFK y flagela…"
130,carlos875859682,RT @GFrondizi: Macri espera q este viernes larreta se candidatee para postularse después y dejarlo en ridículoContinuará....
131,dgrufino,"RT @pesotolp: Bueno, ya saben, Horacio Larreta tiene que hacer un grupo comando en la Aduana mientras sea Jefe de Gobierno de CABA."
132,Marduck24,"RT @Ojo_Kritico: ⚡️López Murphy indignado con Larreta, le pide q deje de financiar a los corsos y murgas porq “Son usados para bajar línea…"
133,RobertinoSoy_,⭕️Miércoles ATR en el PRO 🔥▫️Mañana Rodríguez Larreta lanza su candidatura presidencial en redes. ▫️María Eugenia… https://t.co/NTXRQG9sU3
134,MiguelC64213722,RT @EBrela1975: @frigeriorogelio @horaciorlarreta Todo bien con usted. Pero Larreta es otro Payaso 🤡  que nos quiere ofrecer mas PAN y CIRC…
135,MaryBon06354325,@MacaAfri Larreta no se murió. Y sea lo que que quiera ser es de origen peronista.
136,gra_n_g,"RT @Ojo_Kritico: ⚡️López Murphy indignado con Larreta, le pide q deje de financiar a los corsos y murgas porq “Son usados para bajar línea…"
137,___Gonzo___,@horaciorlarreta @frigeriorogelio Larreta sigue paseando con la tuya contribuyente porteño 🤣
138,GiovanonniJose,La verdad que si Larreta subsidia los corsos me da por las pelotas que los  impuestos de la ciudad vayan ahí.
139,recorriendo,@santikorovsky Muy buena es la poli de Larreta  !
140,OscarCa77701174,RT @drjorgerachid: SI LOS MAPUCHES SON LOS ENEMIGOS PARA EL TANDEM MACRI/BULRRICH/LARRETA/EX DICTADURAS...ENTONCES YO SOY MAPUCHE....!!!
141,SergioA76178765,"@LuisGasulla @arielwolman Biem, ahora contanos cuanto gasta Larreta en pauta. 500 veces mas y vos con el ocote cerrado"
142,BoschiWyczynska,RT @peponila: En el año 2018 @horaciorlarretadijo 👇👇👇Larreta asegura que la policía porteña no usará pistolas eléctricas https://t.co/F1M…
143,SuricataMancebo,"RT @Ojo_Kritico: ⚡️López Murphy indignado con Larreta, le pide q deje de financiar a los corsos y murgas porq “Son usados para bajar línea…"
144,arturolucchetta,"Por ahora #Cristina2023 no es candidata. Las encuestas que pifian mucho, dicen que la puja de JXC es cabeza a cabez… https://t.co/o5IUkIPWHV"
145,RosarubinoRosa,RT @Rosau2022: Esto solo acá pasa!!! Pero larreta está haciendo campaña. #PaisRoto
