,Usuario,Tweet
185,Ddarkkiing,"RT @VarskySports: ¡Messi le cedió el premio de MVP a Julián!""Hizo un partido extraordinario. Nos abrió el camino. Se lo merece él"" https:…"
186,TraviesoEscort,"RT @OutMessi_: Messi, Modrić y Beckham. 3 grandes. https://t.co/kCGgflQ4Z0"
187,javdiazchile,@fifaworldcup_es Mbappe vs Messi.
188,ZaSlimekiller,RT @mvsrapp: ⚽️🅰️ Most Goals+Assists of 20226⃣9⃣ Mbappe 🇫🇷 (52+17 in 53)6⃣3⃣ Messi 🇦🇷 (33+30 in 50)5⃣1⃣ Lewandowski 🇵🇱 (42+9 in 51)5⃣…
189,AnjunaKadeM,The photo they used for Messi 😂 https://t.co/DKC2mfMzGH
190,Soohml_,"RT @hadrien_grenier: Lionel Messi ou Kylian Mbappé, l’un de ces deux joueurs du PSG sera sacré champion du monde dimanche ! 🏆⏳"
191,AmineGouiriRole,@KeeyseerTHE1 Well I want Messi to win it but if he doesn't atleast our Barca players will get it
192,yhbbgd,Sou um fã do messi que vai ser obrigado a torcer pelo mbappe...
193,heraldbosio,@bizarreadvnture no tendria mucho problema de terminar como el ayudante de constantine menos por messi
194,Patriot7717,RT @BrigateLeoni: Günaydın tece...#VamosArgentina / #Maradona #Messi https://t.co/xZX6YC0JGX
195,KolliOde,@totalcristiano Ronaldo will never be better than messi
196,kingofthenorthi,RT @ESPNFC: How are you supposed to stop Messi? 😳 https://t.co/uN6PuEgQeS
197,NdiayeImamHass1,@fatou_colleen J’aime bien les blues mais Messi il doit gagner cette coupe du monde
198,J_Lopez1415,"RT @RadioFCB: El partido definitivo, la final soñada por todos, pero lo más emocionante será ver ese duelo Messi vs Mbappe: https://t.co/0p…"
199,EnzoFernandista,"@Mr_CB10 @Satra_Pitta @Tuitbol Cristiano también tiene talento, lo ""perdió"" con el pasar de los años por su cambio… https://t.co/OdPOZOnZnM"
