,Usuario,Tweet
141,BONAUDO49,RT @MARCELOFAVAOK: ELLA LA MALÉFICA NO ES DUEÑA DEL BARRIO Y HAY SERES HUMANOS QUE NECESITAN VIVIR LIBREMENTE Y NO RODEADOS DE VAGOS ALCOHÓ…
142,SilviaE55301037,"RT @jramospadilla: RATIFICAMOS la convocatoria a Parque Chacabuco. Desde ahí decidiremos en asamblea, como seguimos, Larreta esta provocand…"
143,MascotaKing,"RT @marcelopueIIaok: Como hizo cada fiesta patria en los 4 años de mandato de Macri, el PRO encontró la ""solución"" para que el pueblo no se…"
144,Lisandro_Otero,RT @PERIODlSTAPERON: En cinco días y cinco noches no hubo ni un solo hecho de violencia. Ahora Larreta manda la infantería. ¿Qué busca el c…
145,VICTORH89217148,RT @DeliaRosaCmara4: LARRETA CAGON LPQTP!  https://t.co/bi6XMv6FVI
146,FelipeGerez5,RT @ultramacrista23: Larreta les está pintando los ranchos a los villeros de la 31. Onda Caminito. Gastando la plata de los porteños en per…
147,MarkiusFK,RT @cristiancim: Pero Larreta… estás violando el derecho a la libre circulación que tanto te gusta. Además estás haciendo un mini ghetto. Y…
148,MariuQuinte,@JuandoUnderwood @Normis1659ok Jaja Lo sepultó Play Maximus a Larreta
149,roxanacastel,RT @MartnPeiretti1: @CarolinaPiparo Larreta hizo un vallado porque el comentario era que venias vos manejando un auto.
150,NicolasMelian4,"RT @ElCara333: Larreta blanquea el arreglo con el oficialismo para permitir la invasión de Recoleta por gente que ensucia , entorpece y mol…"
151,mechacorta2015,"RT @OmarTropa: Vallas , policías , guardia de infantería, filmación de manifestantes , solo faltan los infiltrados para completar el cotill…"
152,contrainfoTW,@LiliLopezForesi @ApuleyoPaz @horaciorlarreta @CFKArgentina EL MÉTODO DE LA DICTADURA.LARRETA ORDENÓ FILMAR LOS RO… https://t.co/ttvw8I9gKE
153,Paola24561,"RT @jramospadilla: Larreta, abrí tu cabeza, no podes ser tan P... como para creer q podes parar al Pueblo que marcha hacia su destino, trat…"
154,NicoCuevasArg,"RT @marcelopueIIaok: Hoy las manifestaciones de apoyo a Cristina iban a ser solamente en plazas, pero por culpa de la provocación de las va…"
155,unopunto21,"C5N descubriendo que la policía de Larreta graba las marchas y manifestaciones, me da un poco de ternura.Not https://t.co/4WFE0gW9OP"
156,MariaEsterHLVS,"RT @OmarTropa: Vallas , policías , guardia de infantería, filmación de manifestantes , solo faltan los infiltrados para completar el cotill…"
157,Alberto27426282,@bell_lullaby @SanchoPanza_arg @LiveFree2019 @silvinamanzi FELICITO A LARRETA   !  !  QUE LOS ÑOQUIS K  :  BUSQUEN T… https://t.co/IyzOOi5UgR
