,Usuario,Tweet
140,radiodogo,Alberto Fernández se puso en contacto con los médicos y allegados de Milagro Sala https://t.co/lY6GdRhjs7
141,Mora6Susana,RT @cristiancim: Gerardo Morales está torturando a Milagro Sala en terapia intensiva. No se puede mover dr su cama y tiene a un policía al…
142,HererPala,RT @SidneyCartonBis: Así es la trombosis de Milagro Sala Pronto será intervenida por un especialista como el cirujano Rossi No solo Gerardo…
143,Jorgeomargago,"RT @WalhallaMann: Les voy a pedir que me ayuden a difundir esto que es un escándalo y una burla a la justicia.

Milagro Sala hoy tenia junt…"
144,Tulkas_Ainur,"RT @WalhallaMann: Les voy a pedir que me ayuden a difundir esto que es un escándalo y una burla a la justicia.

Milagro Sala hoy tenia junt…"
145,hcocho,RT @cristiancim: Gerardo Morales está torturando a Milagro Sala en terapia intensiva. No se puede mover dr su cama y tiene a un policía al…
146,quecop,"RT @Irihauser: 🔴El equipo de la defensa de Milagro Sala informa que está en terapia intensiva, con un policía al lado todo el tiempo. No ha…"
147,JosefaArtunez1,RT @soymaraok: Me confirmaron que Milagro Sala tenía junta médica en estos días para evaluar si estaba en condiciones de regresar a la cárc…
148,quecop,RT @cristiancim: Gerardo Morales está torturando a Milagro Sala en terapia intensiva. No se puede mover dr su cama y tiene a un policía al…
149,lobo_amarelo,"RT @PrensaTupac: Como es de público conocimiento, Milagro Sala lleva casi siete años en prisión preventiva, monto que triplica el máximo es…"
150,yomismoer,"RT @Irihauser: 🔴El equipo de la defensa de Milagro Sala informa que está en terapia intensiva, con un policía al lado todo el tiempo. No ha…"
151,HumbertReincide,"RT @PrensaTupac: Como es de público conocimiento, Milagro Sala lleva casi siete años en prisión preventiva, monto que triplica el máximo es…"
152,MaestraAmanda,RT @a_b_berurier: A Gerardo Morales no le alcanza con tener a Milagro Sala presa de por vida: la quiere muerta. Hitler vive y goza de buena…
153,HumbertReincide,"RT @PrensaTupac: Cabe recordar que, en las últimas semanas, el Ministerio Público de la Acusación expresó públicamente su intención de que…"
154,ValeTheGinger,RT @cristiancim: Gerardo Morales está torturando a Milagro Sala en terapia intensiva. No se puede mover dr su cama y tiene a un policía al…
155,titimaya15,RT @cristiancim: Gerardo Morales está torturando a Milagro Sala en terapia intensiva. No se puede mover dr su cama y tiene a un policía al…
156,DMissiati,"RT @JuanGrabois: Mi solidaridad con Milagro Sala internada en grave estado. Con ella nuestro corazón, con los verdugos y sus cómplices nues…"
157,matiuscriollo,Se Presidente @alferdez FIRME EL INDULTO PARA MILAGRO SALA YA MISMO basta de persecución y tortura de @GerardoMorales #IndultenAMilagroYA
158,GriseldaMafalda,RT @gimenafuertes: Milagro Sala está internada en terapia intermedia en  la clínica Los Lapachos en Jujuy por una Trombosis Venosa Profunda…
159,HumbertReincide,"RT @PrensaTupac: Para peor, los policías informan constantemente, por teléfono, (suponemos que sus superiores o medios de comunicación) ace…"
160,pedrocromo,"RT @jotaalonso: #Urgente
Milagro Sala está internada en Jujuy con un cuadro de trombosis. Fue derivada a terapia intensiva para intentar me…"
161,chrichiardi,RT @soymaraok: Me confirmaron que Milagro Sala tenía junta médica en estos días para evaluar si estaba en condiciones de regresar a la cárc…
162,WilliamRiosM8,RT @SidneyCartonBis: Así es la trombosis de Milagro Sala Pronto será intervenida por un especialista como el cirujano Rossi No solo Gerardo…
163,RaulporsiempreK,"RT @JuanGrabois: Mi solidaridad con Milagro Sala internada en grave estado. Con ella nuestro corazón, con los verdugos y sus cómplices nues…"
164,ArielAnibal13,"RT @BajameEstaTwter: Si no hay ningún viso de legalidad en el martirio que le están haciendo sufrir a Milagro Sala, es claro que correspond…"
165,gamb_pablo,"Qué es la trombosis venosa profunda: la afección por la que fue internada Milagro Sala

https://t.co/a71pwn0ZjM"
166,MaestraAmanda,RT @FGNacional: Repudiamos la presencia policial injustificada y desmedida dentro de la sala de terapia. Esto entorpece el tratamiento médi…
167,ladoizquierdo,"RT @PrensaTupac: *Comunicado del equipo de defensa de Milagro Sala*

En el día de ayer, en el marco de un creciente contexto de hostigamien…"
168,Catalin41352692,RT @cristiancim: Gerardo Morales está torturando a Milagro Sala en terapia intensiva. No se puede mover dr su cama y tiene a un policía al…
169,HumbertReincide,"RT @PrensaTupac: *Comunicado del equipo de defensa de Milagro Sala*

En el día de ayer, en el marco de un creciente contexto de hostigamien…"
170,capassojo,RT @MontenegroViki: Fuerza compañera Milagro Sala!
171,ClaaudiaRoxana2,RT @Silvia14312123: @alferdez  Use la lapicera para indultar a Milagro Sala. Está esperando que se muera para evitar confrontaciones  con e…
172,ClaaudiaRoxana2,"RT @juanvazquezcfp: Hace 3 años El Pte dijo q Milagro Sala vive una detención injusta 
HOY, @alferdez se comunicó c/los médicos de Milagro…"
173,MaestraAmanda,RT @FGNacional: Desde el Frente Grande abrazamos a la compañera Milagro Sala quien se encuentra internada por una grava afección médica. In…
174,BruGaPePa,RT @juanpischiavi: La internaron a Milagro Sala de urgencia en terapia intensiva Esperemos que su salud resista una vez más. Fuerza negra.…
175,Gauchobebop,"RT @PrensaTupac: Como es de público conocimiento, Milagro Sala lleva casi siete años en prisión preventiva, monto que triplica el máximo es…"
176,Gauchobebop,"RT @PrensaTupac: Cabe recordar que, en las últimas semanas, el Ministerio Público de la Acusación expresó públicamente su intención de que…"
177,Catalin41352692,RT @juanpischiavi: La internaron a Milagro Sala de urgencia en terapia intensiva Esperemos que su salud resista una vez más. Fuerza negra.…
178,ElTabano7,RT @ElTabano7: INDULTO YA PARA MILAGRO SALA!
179,RubenMarzialet1,RT @cristiancim: Gerardo Morales está torturando a Milagro Sala en terapia intensiva. No se puede mover dr su cama y tiene a un policía al…
180,lamiliki,"RT @Irihauser: 🔴El equipo de la defensa de Milagro Sala informa que está en terapia intensiva, con un policía al lado todo el tiempo. No ha…"
181,elprofjirafalez,RT @cristiancim: Gerardo Morales está torturando a Milagro Sala en terapia intensiva. No se puede mover dr su cama y tiene a un policía al…
182,Gauchobebop,"RT @PrensaTupac: Para peor, los policías informan constantemente, por teléfono, (suponemos que sus superiores o medios de comunicación) ace…"
183,TaniaIsabelAri1,"RT @teleSURtv: La líder indígena #MilagroSala fue trasladada el lunes desde su domicilio hasta un sanatorio de San Salvador, provincia de #…"
184,corralescd,"RT @WalhallaMann: Les voy a pedir que me ayuden a difundir esto que es un escándalo y una burla a la justicia.

Milagro Sala hoy tenia junt…"
185,KIKESANCHEZ63,"RT @Irihauser: 🔴El equipo de la defensa de Milagro Sala informa que está en terapia intensiva, con un policía al lado todo el tiempo. No ha…"
186,AnitaKich,RT @ElTabano7: INDULTO YA PARA MILAGRO SALA!
187,nmartinezush,"RT @PrensaTupac: *Comunicado del equipo de defensa de Milagro Sala*

En el día de ayer, en el marco de un creciente contexto de hostigamien…"
