,Unnamed: 0,Usuario,Tweet
137,137,contrainfoTW,@silviamascotas @MarcelaSmiljan EL MÉTODO DE LA DICTADURA.LARRETA ORDENÓ FILMAR LOS ROSTROS DE LOS QUE AMAN A CRIS… https://t.co/IV6G5GZNn2
138,138,AleLaKuka,RT @jramospadilla: RATIFICAMOS la convocatoria a Parque Chacabuco. Desde ahí decidiremos en asamblea como seguimos Larreta esta provocand…
139,139,gabyzeta68,RT @eldestapeweb: A pesar de las vallas de Horacio Rodríguez Larreta la militancia marchará por CFK: los actos confirmados y el festival a…
140,140,zcplank,RT @dimeoJacho: 😡 QUIEREN MILITARIZAR RECOLETA para separar al pueblo de Cristina ! !  NO LO LOGRARÁN  ni con mil vallas ! !  😡
141,141,JuanRoballo,RT @gimenafuertes: Se fue la Infantería de la ciudad de la casa de Cristina.
142,142,Gloria51405915,"RT @tomascasascm: ""Me dijiste que lo único que te importaba en esta historia es que Mónica Oltra cayese"". Declaraciones esclarecedoras de P…"
143,143,Karina51236524,RT @LaCampora_CABA: Vallas donde vayas... Esta es la Policía de Larreta.A Cristina la defiende el pueblo.#TodosConCristina https://t.co/…
144,144,lilianacaste2,@ElTroya35447475 No importan las vallas hay que ir con más razón y cantarle a Cristina los cantos más fuertes que e… https://t.co/LibBD1m6qf
145,145,Guille_Fe,RT @C5N: EN VIVO | Desde RecoletaLlegó la Infantería a la casa de Cristina Kirchner#MarchasPorCristina https://t.co/uvPI0WBGQW
146,146,Roma62813112,RT @atlanticsurff: Mi cielo el Kirchnerismo usan una foto de un fotógrafo Irakí para hacerte creer que es un camarógrafo de C5N llorando sa…
147,147,MarabellaLancer,RT @atlanticsurff: Así lleno de comida botellas de vinos y latas de Cerveza dejaron la calle Juncal en Recoleta los militantes que apoyan…
148,148,chavnnel,RT @FurmanElias: Insólito: Sindicalistas no descartan realizar un paro de actividades como acto de solidaridad a la corrupta Cristina Ferná…
149,149,sofiabart,RT @p_justicialista: Dejá tu mensaje de apoyo a la compañera Cristina ✌️#TodosConCristina https://t.co/H4RhR9ZOsh
150,150,maxiknop,RT @GuimonacoOk: En rojo el esquema de vallas que van a tener que proponer para impedir las manifestaciones de apoyo a Cristina#SacaLasV…
151,151,GracielaPaggi,RT @DiegoFlo17: Larreta puso vallas en la casa de Cristina.Es una provocación. Ellos buscan cambiar el sentido de las muestras de amor pop…
152,152,Luis97848484,RT @PatoBullrich: Con diputados nacionales presentamos en Tribunales una denuncia criminal contra el presidente Alberto Fernández la vicep…
153,153,merryvillage,RT @indignadoxd: Resistiendo con aguante dicen Echarri Brancatelli y Dady Brieva. Nos bancamos la lluvia dicen los kumpas. Cayeron 2 gotas…
154,154,alexbrav,RT @riellodecba: El Sol Peronista asoma en CABA…Y #pomelo Larreta en su miopía política cree que con su ghetto vip va a preservar el orde…
155,155,CaroDasilva,RT @ChrisM_lnol: La oposición denuncia al Presidente a Cristina Kirchner y a otros funcionarios por instigar a cometer delitos amenazar e…
156,156,dacad33,RT @ARomantzoff: #Tormenta...cayeron dos gotas y los cumpas del aguante a Cristina huyeron como ratas. Ja ja ja ha
157,157,milloplatense,RT @MartnPeiretti1: 🟥⛔️⚠️ ¿Estás nervioso Larreta?. El amor de un pueblo hacia su máxima representante no se termina porque pongas vallas f…
158,158,GraGrandi,RT @jramospadilla: RATIFICAMOS la convocatoria a Parque Chacabuco. Desde ahí decidiremos en asamblea como seguimos Larreta esta provocand…
159,159,ELCHUEECO,RT @indignadoxd: Resistiendo con aguante dicen Echarri Brancatelli y Dady Brieva. Nos bancamos la lluvia dicen los kumpas. Cayeron 2 gotas…
160,160,mariamanhatt,RT @dsantoro59: Habló el banquero señalado por Cristina Kirchner y negó haber entregado dólares a José López. Aclaró que el Finansur desde…
161,161,JeyPeekachu,@ZetaOrlando Si capo... Para el 1% donde viven los ricos los oligarcas Cristina y Vidal.
162,162,JotaeZg,"RT @tuviejapopulist: Amado Boudou en Córdoba!  Auditorio lleno todos al grito de ""SI LA TOCAN A CRISTINA.....""! ! ! !  Decían que el Kirchner…"
163,163,Manualcuadrado1,RT @VanessaOrtizz: Otra noche: Así está Argentina el pueblo protege a Cristina Kirchner. https://t.co/EZszAXEquv
