,Usuario,Tweet
119,concepcion2360,"RT @ReporteYa: #27Feb 8:56 PM #Caracas #SinLuz@IsmaelAMataR: ""Vecinos reporta que en parte de la Av Páez, El Pinar, Las Fuentes de El Para…"
120,angelav1515,RT @ReporteYa: #27Feb #Caracas #SinLuz@CarlosJRojas13: Insultante que mis vecinos de #Altagracia y #LaCandelaria norte inicien la semana d…
121,Tziphora,"RT @ReporteYa: #27Feb 8:56 PM #Caracas #SinLuz@IsmaelAMataR: ""Vecinos reporta que en parte de la Av Páez, El Pinar, Las Fuentes de El Para…"
122,diaura1953,RT @Maru72639791: #27Feb 8:59 PM #Caracas #SinLuz Fallas en el servicio eléctrico en Caracas generan cacerolazos.Se reporta intermitenci…
123,gbe26,"RT @DanielMesuca: @CorpoelecInfo a esta hora Calle Araguaney diagonal a la Plaza Washington en El Paraíso, Caracas #SinLuz"
124,LarryJimnez,"RT @ReporteYa: #27Feb 8:50 PM #Caracas #SinLuz @Dayanakrays: Edificios de la Av. Fuerzas Armadas, esquina Socorro, tocan cacerolas tras se…"
125,gbe26,"RT @RamoneAL81: #Sinluz  Corpoelec... Av Fuerzas Armadas... Segunda.noche seguida, patria pura...😡😡"
126,luisannaC6,"RT @ReporteYa: #27Feb 8:50 PM #Caracas #SinLuz @Dayanakrays: Edificios de la Av. Fuerzas Armadas, esquina Socorro, tocan cacerolas tras se…"
127,AddysKerrie26,"RT @ccmf5: Buenas tardes en el sector manzano abajo en Barquisimeto estado Lara, tenemos 10 horas #sinluz! Atención @gobiernodelara @Adolfo…"
128,HctorBello1,"RT @ReporteYa: #27Feb 8:50 PM #Caracas #SinLuz @Dayanakrays: Edificios de la Av. Fuerzas Armadas, esquina Socorro, tocan cacerolas tras se…"
129,napocordero,"RT @ReporteYa: #27Feb 8:50 PM #Caracas #SinLuz @Dayanakrays: Edificios de la Av. Fuerzas Armadas, esquina Socorro, tocan cacerolas tras se…"
130,TranquiniJose,RT @Maru72639791: #27Feb 8:59 PM #Caracas #SinLuz Fallas en el servicio eléctrico en Caracas generan cacerolazos.Se reporta intermitenci…
131,JoseECarrero,RT @ReporteYa: #27Feb 8:59 PM #Caracas #SinLuz Fallas en el servicio eléctrico en Caracas generan cacerolazos.Se reporta intermitencia d…
132,yoedmar,RT @ReporteYa: #27Feb 8:59 PM #Caracas #SinLuz Fallas en el servicio eléctrico en Caracas generan cacerolazos.Se reporta intermitencia d…
133,yoedmar,"RT @ReporteYa: #27Feb 8:50 PM #Caracas #SinLuz @Dayanakrays: Edificios de la Av. Fuerzas Armadas, esquina Socorro, tocan cacerolas tras se…"
134,cimacoro,RT @ReporteYa: #27Feb 8:59 PM #Caracas #SinLuz Fallas en el servicio eléctrico en Caracas generan cacerolazos.Se reporta intermitencia d…
135,ed_mundos,RT @dania0184: Nuevamente @CorpoelecInfo av fuerzas armadas después de pasar 10 horas sin luz nuevamente nos la quitan.... Hasta cuando tan…
136,ed_mundos,"RT @RamoneAL81: #Sinluz  Corpoelec... Av Fuerzas Armadas... Segunda.noche seguida, patria pura...😡😡"
137,ed_mundos,"RT @DanielMesuca: @CorpoelecInfo a esta hora Calle Araguaney diagonal a la Plaza Washington en El Paraíso, Caracas #SinLuz"
138,ed_mundos,RT @Maru72639791: #27Feb 8:59 PM #Caracas #SinLuz Fallas en el servicio eléctrico en Caracas generan cacerolazos.Se reporta intermitenci…
139,ed_mundos,"RT @lu_ortiz23: #SinLuz El Ingenio Guatire, 2 apagones🥴"
140,ed_mundos,"RT @RCR750: #SinLuz zonas de El Paraiso, Caracas."
141,ed_mundos,"RT @CarlosJRojas13: Insultante que mis vecinos de #Altagracia y #LaCandelaria norte inicien la semana #sinluz,desde la medianoche de este #…"
142,anyuskajaimes,"RT @ReporteYa: #27Feb 8:56 PM #Caracas #SinLuz@IsmaelAMataR: ""Vecinos reporta que en parte de la Av Páez, El Pinar, Las Fuentes de El Para…"
143,ed_mundos,"RT @ReporteYa: #27Feb 8:50 PM #Caracas #SinLuz @Dayanakrays: Edificios de la Av. Fuerzas Armadas, esquina Socorro, tocan cacerolas tras se…"
144,gmlaredo,"RT @ReporteYa: #27Feb 8:56 PM #Caracas #SinLuz@IsmaelAMataR: ""Vecinos reporta que en parte de la Av Páez, El Pinar, Las Fuentes de El Para…"
145,EventossRafa,"RT @ReporteYa: #27Feb 8:56 PM #Caracas #SinLuz@IsmaelAMataR: ""Vecinos reporta que en parte de la Av Páez, El Pinar, Las Fuentes de El Para…"
146,sketa0,RT @ReporteYa: #27Feb 8:59 PM #Caracas #SinLuz Fallas en el servicio eléctrico en Caracas generan cacerolazos.Se reporta intermitencia d…
147,ed_mundos,"RT @ReporteYa: #27Feb 8:56 PM #Caracas #SinLuz@IsmaelAMataR: ""Vecinos reporta que en parte de la Av Páez, El Pinar, Las Fuentes de El Para…"
148,gmlaredo,RT @ReporteYa: #27Feb 8:59 PM #Caracas #SinLuz Fallas en el servicio eléctrico en Caracas generan cacerolazos.Se reporta intermitencia d…
149,Gabriel88242882,"RT @ReporteYa: #27Feb 8:56 PM #Caracas #SinLuz@IsmaelAMataR: ""Vecinos reporta que en parte de la Av Páez, El Pinar, Las Fuentes de El Para…"
150,mireyamm20,RT @Maru72639791: #27Feb 8:59 PM #Caracas #SinLuz Fallas en el servicio eléctrico en Caracas generan cacerolazos.Se reporta intermitenci…
151,AmparoBriceno4,"RT @ReporteYa: #27Feb 8:56 PM #Caracas #SinLuz@IsmaelAMataR: ""Vecinos reporta que en parte de la Av Páez, El Pinar, Las Fuentes de El Para…"
