,Usuario,Tweet
137,navatta_15,RT @xmilianx_: Mi tios el domingo en la mesa familiar discutiendo si el atentado a Cristina estaba todo armado o no https://t.co/488khtuZnr
138,Noemi_Esteva,RT @eldestapeweb: 🔴 Quién es el hombre que le apuntó en la cabeza a Cristina Kirchner con un arma https://t.co/yiqXCaF3dW
139,profmarlei433,"RT @lucasrohan: 🔴 URGENTETentativa de assassinato de Cristina Kirchner na Argentina. A arma, aparentemente, falhou. Tudo gravado em vídeo…"
140,gustavodvega,RT @LuispaGiniger: El  subordinado Nelson Castro por ejemplo acaba de decir “venimos diciendo que esas manifestaciones eran un peligro para…
141,francerocha3,RT @g1: Homem é detido após apontar arma para Cristina Kirchner na Argentina https://t.co/LRiGnVslfs #g1 https://t.co/zk2tNB1RBR
142,aylennnnn4,RT @pasionsarmiento: cristina en el lobby del edificio https://t.co/XfMKPqWOTd
143,Ebarduil,"RT @troglioneta: Amigo no se dimensiona lo MONTONAZO que es esto, desde que le hayan puesto una 9 en la sien a Cristina hasta que no haya s…"
144,tome_os,"RT @ConfidencialHN: 🌎 #Internacional La noche del jueves, un hombre atacó a la vicepresidenta de Argentina, Cristina Fernández de Kirchne…"
145,sebastianperi,RT @LPOArg: 🔴#Urgente #Magnicidio | La policía detuvo a Fernando Andres Sabag Montiel luego que le gatillara en la cara a la vicepresidenta…
146,susanatourquese,"RT @Editor_76: Escuchen lo que dijeron hace unas horas (21:15hs) Jonantan Viale y Débora Plager en LN+, sobre la posibilidad de un atentado…"
147,PeriodicoPausa,#AtentadoACFKEl impresionante momento en el que gatillaron apuntando a Cristina. Escalofríos.https://t.co/QJh5mUqjoQ
148,missp0lenta,hay cristina para rato cumpas https://t.co/JjOBJz9w4G
149,gpiquerez,RT @agusantonetti: El momento en el que intentan dispararle a Cristina Kirchner. https://t.co/weIehFRUy3
150,BrunoCaram5,RT @GuidoCattaneo: También es responsable el diputado del PRO @FranSanchezNQN que pedía pena de muerte para Cristina. #AtentadoACFK
151,juanmilito10,RT @donnatefah: un fiscal se suicida: lo mato cristinaintentan matar a cristina: fue cristina
152,ROBERT_LEYVA,"RT @AlinaDuarte_: La derecha no tiene límites, acaban de intentar asesinar a Cristina Fernández de Kirschner. Disparó, pero la bala no sali…"
153,VeryTw,"RT @MrCluni: Chicos, montaron ésto para que la faraona deje de saludar a los nword porque le da asco. Ya nos sabemos todos los trucos. http…"
154,sp_gracie,RT @silvia26433: #JusticiaHipotecada#TodosConCristina🇦🇷✌❤UN ARMA???ESTO SE PONE FEO!!CUIDEN A CRISTINA!! https://t.co/xCjeiLC1Uj
155,LucioPJ20,"RT @CarlosMaslaton: Gravísimo el atentado contra Cristina Kirchner. Fracasó, pero quién la mandó a matar? No da resultado liquidar adversar…"
156,AmoSextafeira,"RT @lucasrohan: 🔴 URGENTETV exibe novo vídeo de tentativa de assassinato contra Cristina Kirchner na Argentina que mostra, de outra persp…"
157,SebastinPizzi1,RT @dinasanchezok: Intentaron matar a Cristina!  Basta de violencia! Es inconcebible  el nivel de odio que tienen. BASTA #fuerzacristina e…
158,_SamaraThais,Que horror essa tentativa de homicídio contra Cristina Kirchner. É muito grave tudo isso que tá acontecendo.
159,betha57,RT @yani_griega: #ParoYMovilizacion#ParaProtegerACristinaTodos con Cristina! https://t.co/Eb72SGssaB
160,MartinV57233850,"RT @gimenafuertes: La promo de TN de hoy, ""Cristina obsesionada con su custodia"" 👇🏾 https://t.co/aJGPSLCUVw"
161,sabrin_soled,RT @juan_amorin: La TV Publica acaba de publicar el momento donde un hombre saca un arma frente a la vicepresidenta Cristina Kirchner.Sig…
162,FacundoVodopiv3,RT @0800_Cj: El mamahuevo que le apunto a Cristina si el tiro hubiese salido: https://t.co/wGmtqVwj4s
163,gian_costamagna,RT @0800_Cj: El brasileño cuando vio la seguridad de Cristina: https://t.co/CGHrYWB7r2
164,PanelliOscar,"RT @Albertovite0131: A paso de una guerra civil,estos hijos de puta,no saben lo que se les viene si le llega a pasar algo a Cristina"
165,FloryFuertes,"RT @gimenafuertes: La promo de TN de hoy, ""Cristina obsesionada con su custodia"" 👇🏾 https://t.co/aJGPSLCUVw"
166,cheadmdq,"RT @creando_raices: #ConEllaNoHijosDePuta La tocan a Cristina y mejor que se muden de continente, mínimo. Diría hasta de planeta, porque…"
167,lostdemie,q horror lo de cristina posta
168,anaibanezok,"RT @ricardonavoni: Pasaron todos los límitesCuando sembras odio cada día y crees que no pasa nada, estás equivocadoSolamente Cristina p…"
169,Pabloocaranzaa,"El que quiso matar a Cristina que venga y me apunte con su arma, pero que no falle así no tenga que seguir estudiando"
170,Despertamos_arg,NO CREAN NADA.#atentadoacfk #Cristina
171,moniksv62,"RT @LuisGasulla: El que sale a buscar al agresor de la Vice es Diego Bermudez, el secretario personal de Cristina Kirchner, el que hablaba…"
172,Fernand50994986,RT @lucasrohan: Assustadoras as imagens de tentativa de assassinato de Cristina. Políticos de direita já usam o Twitter para acusar armação…
173,HRaul29,"RT @DoralbaMedina1: Miren esta imagenHasta cuando van a seguir con tanto odio hacia Cristina..basta, basta https://t.co/Zfx3Cl1EGH"
174,olicomai,"RT @CarlosMaslaton: Gravísimo el atentado contra Cristina Kirchner. Fracasó, pero quién la mandó a matar? No da resultado liquidar adversar…"
175,moniKporsiempre,RT @SantiagoCafiero: Quisieron matar a @CFKArgentina. Es el hecho de violencia política más grave desde la vuelta de la democracia. Fuerz…
176,Antonelo333,RT @DavidNemer: Os ataques à Cristina Kirchner tem crescido exponencialmente nos últimos dias no Telegram bolsonarista. https://t.co/1E59tF…
177,adrianodolph,"RT @ThiagoResiste: URGENTE, tentaram assassinar Cristina Kirchner na Argentina!!O vídeo é chocante, seria 1 tiro no meio da cara, por sor…"
